Date,Open,High,Low,Close,Adj Close,Volume
2016-10-01,112.709999,118.690002,112.279999,113.540001,111.5719,686201700
2016-11-01,113.459999,113.769997,104.080002,110.519997,108.6043,720875800
2016-12-01,110.370003,118.019997,108.25,115.82,114.3968,608331500
2017-01-01,115.800003,122.440002,114.760002,121.349998,119.8588,562075600
2017-02-01,127.029999,137.479996,127.010002,136.990005,135.3066,574107400
2017-03-01,137.889999,144.5,137.050003,143.660004,142.5098,561628400
2017-04-01,143.710007,145.460007,140.059998,143.649994,142.4999,373304100
2017-05-01,145.100006,156.649994,144.270004,152.759995,151.5370,653755300
2017-06-01,153.169998,155.979996,142.199997,144.020004,143.4567,684178100
2017-07-01,144.880005,153.990005,142.410004,148.729996,148.1482,421393100
2017-08-01,149.100006,164.520004,148.410004,164,163.3585,660974500
2017-09-01,164.800003,164.940002,153.830002,156.070007,156.0700,440108600
2017-09-20,157.899994,158.259995,153.830002,156.070007,156.0700,52951364
