Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,96.809998,99.800003,95.150002,99.400002,93.286606,103033400
12/1/2014,99.489998,106.019997,96.989998,104.970001,98.514053,118058000
1/1/2015,105.160004,107.739998,100.239998,104.419998,98.465897,109803100
2/1/2015,104.779999,117.919998,101.57,114.75,108.206886,110356800
3/1/2015,114.860001,117.989998,111.580002,113.610001,107.131889,104068500
4/1/2015,113.879997,116.25,106.620003,106.980003,101.399033,95587100
5/1/2015,106.980003,116.480003,106.849998,111.419998,105.607384,100151300
6/1/2015,111.970001,113.709999,109.029999,111.129997,105.332527,104807700
7/1/2015,112.449997,118.129997,110.169998,117.029999,111.513901,97800100
8/1/2015,117.620003,123.800003,92.169998,116.459999,110.970772,134871300
9/1/2015,113.989998,119.82,111.800003,115.489998,110.046501,121936000
10/1/2015,116.230003,125.75,114.709999,123.639999,118.412231,97068500
11/1/2015,124.239998,135.470001,118.610001,133.880005,128.219299,111416100
12/1/2015,133.520004,134.830002,130.009995,132.25,126.658188,99684500
1/1/2016,130.110001,131.940002,113.589996,125.760002,120.975739,147003300
2/1/2016,124.919998,127.75,109.620003,124.120003,119.398125,135746500
3/1/2016,124.779999,134.289993,123.980003,133.429993,128.353943,94094800
4/1/2016,133.100006,137,131.75,133.889999,129.504684,82895000
5/1/2016,134.369995,137.820007,130.020004,132.119995,127.792664,112324000
6/1/2016,132.119995,132.729996,123.620003,127.690002,124.147301,114043800
7/1/2016,128.289993,138.720001,128.119995,138.240005,134.404617,78385200
8/1/2016,138.059998,139,133.600006,134.119995,130.398895,91252700
9/1/2016,134.479996,135.880005,125.349998,128.679993,125.751427,107663500
10/1/2016,128.199997,130.449997,121.620003,122.010002,119.233223,97281100
11/1/2016,121.690002,132.139999,119.199997,129.399994,126.455025,133494900
12/1/2016,129.339996,137.320007,128.679993,134.080002,131.724258,99351900
1/1/2017,135.100006,139.369995,133.050003,137.580002,135.162766,83087300
2/1/2017,137.660004,146.330002,136.330002,144.910004,142.363983,75908100
3/1/2017,146.720001,150.149994,145.830002,146.830002,144.250244,92996000
4/1/2017,146.940002,156.270004,145.759995,156.100006,154.290695,75716700
5/1/2017,156.220001,160.860001,153.279999,153.509995,151.730698,93661000
6/1/2017,153.520004,159.220001,150.75,153.399994,152.498169,100404300
7/1/2017,154.389999,154.789993,144.25,149.600006,148.720535,102473500
8/1/2017,150.240005,156.050003,146.889999,149.869995,148.988922,114177100
9/1/2017,150.259995,163.610001,149.759995,163.559998,163.559998,110280500
10/1/2017,164.199997,166.080002,163.220001,165.289993,165.289993,8506200
